ID;FECHA_REGISTRO;CANAL_REGISTRO;FECHA_CLIENTE;CLIENTEPORCAMPA•AEMAIL;FORMAJURIDICA;SECTOR;DESC_SECTOR;ESTADO;DEPARTAMENTO;TAMA•O;ANTIGUEDAD;DIASCLIENTE;CONSUMOSTOTAL;EMPRESASUNICAS_CONSULT;NUM_COMPRAS;IMPORTE_COMPRAS
6384286;15/3/2017 15:24;WEB;15/3/2017 15:36;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;0;11;3;1;35
6384667;15/3/2017 19:18;WEB;8/3/2018 11:01;0;SOCIEDAD;K;ACTIVIDADES FINANCIERAS Y DE SEGUROS;ACTIVA;BOGOTA;MICRO;De 5 a 10 A§os;358;1;1;1;15
6389279;21/3/2017 11:39;WEB;21/3/2017 11:39;0;SOCIEDAD;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO;ACTIVA;BOLIVAR;PEQUE•A;M†s de 10 A§os;0;75;36;38;904
6387954;18/3/2017 19:47;Directorios;24/5/2017 22:05;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;67;61;10;13;684
6383269;15/3/2017 6:58;Directorios;15/3/2017 7:07;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;0;1;1;1;22
6386670;17/3/2017 10:05;Directorios;9/3/2020 7:12;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;1088;1;1;1;15
6388254;19/3/2017 22:14;WEB;20/2/2021 16:01;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;1434;1;1;1;15
6386995;17/3/2017 12:15;SEM;29/3/2017 9:05;1;PERSONA FISICA;9;NOSECTOR;VIVA;;;;12;3;2;4;113
6385881;16/3/2017 16:26;Directorios;9/11/2022 11:40;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;2064;1;1;1;15
6366812;1/3/2017 8:33;Directorios;1/3/2017 9:00;0;SOCIEDAD;H;TRANSPORTE Y ALMACENAMIENTO;ACTIVA;CUNDINAMARCA;MEDIANA;M†s de 10 A§os;0;11;6;8;261
6366867;1/3/2017 9:14;SEM;1/3/2017 9:38;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;0;1;1;1;22
6388333;20/3/2017 10:22;Directorios;30/5/2018 13:50;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;436;1;1;2;44
6368307;2/3/2017 10:35;Directorios;5/2/2018 10:39;0;SOCIEDAD;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACI‡N DE VEH÷CULOS AUTOMOTORES Y MOTOCICLETAS";ACTIVA;BOGOTA;MEDIANA;M†s de 10 A§os;340;2;2;1;35
6367016;1/3/2017 10:45;WEB;6/3/2017 20:57;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;5;5;2;1;22
6366276;28/2/2017 16:03;WEB;28/2/2017 16:09;0;SOCIEDAD;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACI‡N DE VEH÷CULOS AUTOMOTORES Y MOTOCICLETAS";ACTIVA;BOLIVAR;PEQUE•A;De 5 a 10 A§os;0;466;235;4;1503
6366553;28/2/2017 19:56;SEM;3/3/2017 15:42;0;SOCIEDAD;M;ACTIVIDADES PROFESIONALES, CIENT÷FICAS Y TêCNICAS;ACTIVA;BOGOTA;PEQUE•A;M†s de 10 A§os;3;22;11;1;1000
6367151;1/3/2017 12:16;WEB;1/3/2017 12:17;0;SOCIEDAD;Q;ACTIVIDADES DE ATENCI‡N DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL;ACTIVA;VALLE;MICRO;M†s de 10 A§os;0;1;1;1;70
6367740;1/3/2017 19:37;SEM;1/3/2017 21:03;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;0;2;1;1;70
6368470;2/3/2017 11:38;WEB;2/3/2017 11:38;0;SOCIEDAD;C;INDUSTRIAS MANUFACTURERAS;ACTIVA;RISARALDA;MICRO;De 5 a 10 A§os;0;1;1;1;35
6370042;3/3/2017 13:54;Directorios;12/2/2018 12:03;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;346;1;1;1;35
6368647;2/3/2017 13:03;WEB;10/3/2017 21:08;0;EMPRESARIO;C;INDUSTRIAS MANUFACTURERAS;ACTIVA;BOGOTA;MICRO;De 3 a 18 Meses;8;1;1;1;35
6369054;2/3/2017 17:04;Directorios;2/3/2017 17:12;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;0;8;3;1;22
6369116;2/3/2017 18:01;WEB;2/3/2017 18:29;0;EMPRESARIO;S;OTRAS ACTIVIDADES DE SERVICIOS;INACTIVA;ANTIOQUIA;MICRO;De 5 a 10 A§os;0;29;10;5;344
6367848;1/3/2017 21:03;WEB;31/3/2017 22:34;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;30;1;1;1;15
6368044;2/3/2017 7:54;SEM;8/3/2018 14:51;0;SOCIEDAD;H;TRANSPORTE Y ALMACENAMIENTO;ACTIVA;ANTIOQUIA;MEDIANA;M†s de 10 A§os;371;114;49;3;2215
6371456;5/3/2017 17:59;SEM;5/3/2017 18:44;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;0;3;2;1;22
6370142;3/3/2017 15:00;Directorios;3/3/2017 15:09;0;SOCIEDAD;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACI‡N DE VEH÷CULOS AUTOMOTORES Y MOTOCICLETAS";ACTIVA;CUNDINAMARCA;MEDIANA;M†s de 10 A§os;0;2;2;1;22
6372901;6/3/2017 18:52;WEB;13/3/2017 14:45;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;7;2;1;1;100
6371831;6/3/2017 8:51;Directorios;17/4/2017 7:58;0;SOCIEDAD;M;ACTIVIDADES PROFESIONALES, CIENT÷FICAS Y TêCNICAS;ACTIVA;BOGOTA;MICRO;De 5 a 10 A§os;42;34288;18618;13;4125
6371914;6/3/2017 9:32;SEM;6/3/2017 10:15;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;0;5;2;2;100
6375872;8/3/2017 17:44;WEB;8/3/2017 17:44;0;SOCIEDAD;M;ACTIVIDADES PROFESIONALES, CIENT÷FICAS Y TêCNICAS;ACTIVA;BOGOTA;MICRO;De 5 a 10 A§os;0;1;1;1;22
6369691;3/3/2017 10:36;SEM;5/4/2017 11:35;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;33;2;1;2;115
6371188;5/3/2017 9:45;WEB;5/3/2017 9:45;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;0;1;1;1;15
6378897;10/3/2017 19:43;Directorios;9/2/2018 7:39;0;EMPRESARIO;K;ACTIVIDADES FINANCIERAS Y DE SEGUROS;INACTIVA;VALLE;MICRO;De 5 a 10 A§os;335;2;1;1;15
6376480;9/3/2017 10:18;WEB;13/3/2017 13:18;0;SOCIEDAD;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO;INACTIVA;BOGOTA;MICRO;M†s de 10 A§os;4;3692;3461;1;210
6376739;9/3/2017 11:58;Directorios;30/3/2017 9:38;1;PERSONA FISICA;9;NOSECTOR;VIVA;;;;21;1;1;1;22
6379015;10/3/2017 23:28;Directorios;8/2/2018 16:15;0;EMPRESARIO;M;ACTIVIDADES PROFESIONALES, CIENT÷FICAS Y TêCNICAS;ACTIVA;BOGOTA;MICRO;M†s de 10 A§os;335;2;1;2;50
6377949;10/3/2017 9:48;Directorios;4/4/2022 12:53;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;1851;1;1;1;25
6378399;10/3/2017 12:43;WEB;13/3/2017 8:25;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;3;8;6;1;15
6383455;15/3/2017 9:04;Directorios;15/3/2017 22:06;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;1;2;2;2;37
6377151;9/3/2017 15:41;Directorios;9/3/2017 17:01;0;EMPRESARIO;I;ALOJAMIENTO Y SERVICIOS DE COMIDA;INACTIVA;BOGOTA;MICRO;M†s de 10 A§os;0;1;1;1;50
6379669;12/3/2017 11:06;Directorios;22/3/2017 17:30;1;PERSONA FISICA;9;NOSECTOR;VIVA;;;;10;4;1;2;44
6381112;13/3/2017 15:28;Directorios;9/10/2020 17:01;0;PERSONA FISICA;9;NOSECTOR;VIVA;;;;1306;9;4;3;170
