ID;FECHAVENTA;PRODUCTOCOMPRADO;CANALVENTA;IMPORTE
6389279;21/3/2017 0:00;VP Informe;WEB;22
6389989;21/3/2017 0:00;VP Informe;WEB;15
6329507;1/2/2017 0:00;VP Informe;WEB;35
6326580;1/2/2017 0:00;VP Informe;WEB;22
6326580;1/2/2017 0:00;VP Informe;WEB;22
6326580;1/2/2017 0:00;VP Informe;WEB;22
6326784;1/2/2017 0:00;Plan;CALLCENTER;210
6359902;22/2/2017 0:00;VP Informe;WEB;35
6359902;23/2/2017 0:00;VP Informe;WEB;15
6359902;23/2/2017 0:00;VP Informe;WEB;22
6358753;23/2/2017 0:00;VP Informe;WEB;15
6325365;23/2/2017 0:00;VP Informe;WEB;22
6360843;23/2/2017 0:00;Bono;WEB;14
6360385;23/2/2017 0:00;VP Informe;WEB;22
6350972;23/2/2017 0:00;VP Informe;WEB;9
6336307;1/2/2017 0:00;VP Informe;WEB;15
6330481;2/2/2017 0:00;Bono;CALLCENTER;200
6332865;2/2/2017 0:00;Bono;CALLCENTER;100
6330010;2/2/2017 0:00;VP Informe;WEB;50
6309127;24/2/2017 0:00;VP Informe;WEB;22
6362818;25/2/2017 0:00;VP Informe;WEB;22
6362894;25/2/2017 0:00;VP Informe;WEB;22
6362917;25/2/2017 0:00;VP Informe;WEB;15
6363099;25/2/2017 0:00;VP Informe;WEB;22
6362917;25/2/2017 0:00;VP Informe;WEB;22
6337368;2/2/2017 0:00;VP Informe;WEB;15
6337320;2/2/2017 0:00;VP Informe;WEB;15
6337368;3/2/2017 0:00;VP Informe;WEB;22
6337658;3/2/2017 0:00;Bono;CALLCENTER;2500
6362917;26/2/2017 0:00;VP Informe;WEB;22
6359991;27/2/2017 0:00;VP Informe;WEB;22
6359991;27/2/2017 0:00;VP Informe;WEB;22
6359991;27/2/2017 0:00;VP Informe;WEB;22
6364020;27/2/2017 0:00;VP Informe;CALLCENTER;50
6308943;2/1/2017 0:00;VP Informe;WEB;21
6309127;2/1/2017 0:00;VP Informe;WEB;21
6309127;2/1/2017 0:00;VP Informe;WEB;15
6309425;3/1/2017 0:00;VP Informe;WEB;15
6337320;3/2/2017 0:00;VP Informe;WEB;22
6337320;3/2/2017 0:00;VP Informe;WEB;22
6338551;3/2/2017 0:00;VP Informe;WEB;22
6339916;6/2/2017 0:00;VP Informe;WEB;15
6364740;27/2/2017 0:00;VP Informe;WEB;50
6364740;27/2/2017 0:00;VP Informe;WEB;50
6326864;27/2/2017 0:00;VP Informe;WEB;22
6366088;28/2/2017 0:00;VP Informe;WEB;50
6310621;4/1/2017 0:00;VP Informe;CALLCENTER;50
6310095;4/1/2017 0:00;VP Informe;CALLCENTER;50
6310811;4/1/2017 0:00;VP Informe;WEB;15
6310095;5/1/2017 0:00;VP Informe;CALLCENTER;50
6310095;5/1/2017 0:00;VP Informe;CALLCENTER;50
6310301;6/2/2017 0:00;VP Informe;WEB;22
6335326;7/2/2017 0:00;VP Informe;WEB;9
6341252;7/2/2017 0:00;VP Informe;WEB;15
6337558;7/2/2017 0:00;VP Informe;WEB;15
6366276;28/2/2017 0:00;Plan;CALLCENTER;345
6365854;28/2/2017 0:00;VP Informe;CALLCENTER;70
6366812;1/3/2017 0:00;VP Informe;WEB;22
6366812;1/3/2017 0:00;VP Informe;WEB;35
6366867;1/3/2017 0:00;VP Informe;WEB;22
6366812;1/3/2017 0:00;VP Informe;WEB;22
6367151;1/3/2017 0:00;VP Informe;WEB;70
6354310;1/3/2017 0:00;VP Informe;WEB;35
6311257;5/1/2017 0:00;Bono;CALLCENTER;300
6311961;6/1/2017 0:00;VP Informe;WEB;15
6312442;7/1/2017 0:00;VP Informe;WEB;50
6337558;7/2/2017 0:00;VP Informe;WEB;22
6341843;7/2/2017 0:00;VP Informe;WEB;22
6341956;7/2/2017 0:00;VP Informe;WEB;22
6342503;8/2/2017 0:00;VP Informe;WEB;15
6342569;8/2/2017 0:00;VP Informe;WEB;50
6342835;8/2/2017 0:00;Bono;CALLCENTER;4875
6366812;1/3/2017 0:00;VP Informe;WEB;22
6355789;1/3/2017 0:00;VP Informe;WEB;35
6355789;1/3/2017 0:00;VP Informe;WEB;50
6355789;1/3/2017 0:00;VP Informe;WEB;35
6355789;1/3/2017 0:00;VP Informe;WEB;35
6364852;2/3/2017 0:00;Bono;WEB;100
6363990;2/3/2017 0:00;Plan;WEB;414
6314920;11/1/2017 0:00;VP Informe;WEB;22
6309102;11/1/2017 0:00;VP Informe;WEB;22
6341252;8/2/2017 0:00;VP Informe;WEB;15
6343348;8/2/2017 0:00;VP Informe;WEB;15
6343348;8/2/2017 0:00;VP Informe;WEB;15
6343348;8/2/2017 0:00;VP Informe;WEB;22
6341252;8/2/2017 0:00;VP Informe;WEB;15
6341252;8/2/2017 0:00;VP Informe;WEB;15
6368470;2/3/2017 0:00;VP Informe;WEB;35
6367740;2/3/2017 0:00;VP Informe;WEB;70
6369054;2/3/2017 0:00;VP Informe;WEB;22
6368525;2/3/2017 0:00;VP Informe;CALLCENTER;22
6369116;2/3/2017 0:00;VP Informe;WEB;22
6369116;2/3/2017 0:00;Bono;WEB;100
6368112;2/3/2017 0:00;VP Informe;WEB;22
6359902;2/3/2017 0:00;VP Informe;WEB;35
6315699;12/1/2017 0:00;VP Informe;WEB;35
6315873;12/1/2017 0:00;Plan;CALLCENTER;330
6316005;12/1/2017 0:00;VP Informe;WEB;50
6344034;9/2/2017 0:00;Bono;CALLCENTER;100
6315419;9/2/2017 0:00;VP Informe;WEB;22
6315419;9/2/2017 0:00;VP Informe;WEB;50
6333987;9/2/2017 0:00;Plan;CALLCENTER;252
6344872;9/2/2017 0:00;VP Informe;WEB;15
6309127;9/2/2017 0:00;VP Informe;WEB;15
6369110;2/3/2017 0:00;VP Informe;WEB;22
6370142;3/3/2017 0:00;VP Informe;WEB;22
6366553;3/3/2017 0:00;Bono;CALLCENTER;1000
6370311;3/3/2017 0:00;Bono;CALLCENTER;100
6370422;3/3/2017 0:00;VP Informe;WEB;22
6369116;5/3/2017 0:00;VP Informe;WEB;22
6371188;5/3/2017 0:00;VP Informe;WEB;15
6362818;5/3/2017 0:00;VP Informe;WEB;22
6362818;5/3/2017 0:00;VP Informe;WEB;22
6362818;5/3/2017 0:00;VP Informe;WEB;22
6318356;15/1/2017 0:00;VP Informe;WEB;15
6345863;10/2/2017 0:00;VP Informe;WEB;22
6345831;10/2/2017 0:00;VP Informe;WEB;15
6347285;13/2/2017 0:00;VP Informe;WEB;15
6347285;13/2/2017 0:00;VP Informe;WEB;22
6371456;5/3/2017 0:00;VP Informe;WEB;22
6367016;6/3/2017 0:00;VP Informe;WEB;22
6348708;7/3/2017 0:00;Bono;WEB;200
6368501;7/3/2017 0:00;VP Informe;WEB;22
6321245;18/1/2017 0:00;VP Informe;WEB;15
6321811;18/1/2017 0:00;VP Informe;WEB;22
6321811;18/1/2017 0:00;VP Informe;WEB;22
6321811;18/1/2017 0:00;VP Informe;WEB;22
6348423;13/2/2017 0:00;VP Informe;WEB;50
6349115;14/2/2017 0:00;VP Informe;WEB;22
6348770;14/2/2017 0:00;VP Informe;WEB;22
6374395;7/3/2017 0:00;VP Informe;WEB;22
6321811;8/3/2017 0:00;Bono;WEB;100
6371914;8/3/2017 0:00;VP Informe;WEB;50
6361379;8/3/2017 0:00;VP Informe;CALLCENTER;22
6368708;8/3/2017 0:00;Plan;WEB;414
6371914;8/3/2017 0:00;VP Informe;WEB;50
6375872;8/3/2017 0:00;VP Informe;WEB;22
6376139;9/3/2017 0:00;VP Informe;WEB;22
6322531;19/1/2017 0:00;VP Informe;WEB;15
6323487;20/1/2017 0:00;VP Informe;WEB;15
6323407;20/1/2017 0:00;VP Informe;WEB;15
6323866;20/1/2017 0:00;VP Informe;WEB;15
6349115;14/2/2017 0:00;VP Informe;WEB;22
6320040;15/2/2017 0:00;VP Informe;WEB;50
6351244;15/2/2017 0:00;VP Informe;WEB;15
6351141;15/2/2017 0:00;VP Informe;WEB;22
6351270;15/2/2017 0:00;VP Informe;WEB;22
6351953;16/2/2017 0:00;Bono;CALLCENTER;200
6352223;16/2/2017 0:00;VP Informe;CALLCENTER;50
6352223;16/2/2017 0:00;VP Informe;CALLCENTER;35
6377151;9/3/2017 0:00;VP Informe;CALLCENTER;50
6377419;9/3/2017 0:00;VP Informe;WEB;22
6368647;10/3/2017 0:00;VP Informe;WEB;35
6324937;22/1/2017 0:00;VP Informe;WEB;22
6326580;24/1/2017 0:00;VP Informe;WEB;22
6352351;16/2/2017 0:00;VP Informe;WEB;22
